 135.8 , 54 
 156.1 , 56.6 
 151.5 , 58 
 159.2 , 56.7 
 165.6 , 52.9 
 134 , 30.3 
 163.4 , 75.7 
 151.1 , 47.7 
 145.1 , 78.8 
 159.8 , 44.9 
 176.9 , 51.7 
 156.2 , 71.6 
 184 , 89.8 
 177.3 , 38.5 
 175.6 , 88.9 
 188.2 , 60.5 
 139.4 , 64.5 
 154.1 , 62.3 
 174.8 , 73.8 
 150.1 , 70.7 
 162.7 , 76 
 167.8 , 57.4 
 158.3 , 64.2 
 141.9 , 39.1 
 175.2 , 73.9 
 179.3 , 70.9 
 175.8 , 55.5 
 168.9 , 49.1 
 175.3 , 76.1 
 157.2 , 80.1 
 160.3 , 59 
 168.2 , 38.3 
 145.9 , 56.2 
 155.8 , 54.4 
 122 , 55.6 
 144.8 , 52.5 
 146.9 , 38.2 
 173.5 , 51.3 
 165.1 , 66.5 
 129.2 , 40.4 
 156.1 , 54.6 
 137.5 , 39.7 
 174.7 , 74.4 
 172 , 75.5 
 184.1 , 57.9 
 138 , 46.1 
 173.8 , 41.4 
 177.3 , 64.3 
 144.8 , 61.5 
 145.2 , 67.5 
 174.2 , 57.4 
 164.4 , 81.3 
 177.9 , 59.6 
 160.9 , 69.1 
 136.3 , 58.4 
 153.5 , 57 
 171.3 , 65.5 
 160.6 , 50 
 142.5 , 58.7 
 154 , 51.8 
 167.9 , 67.8 
 148.5 , 56.7 
 151.1 , 50.5 
 144 , 35.1 
 185.7 , 89.3 
 164.8 , 56.7 
 161.1 , 67.3 
 169.3 , 60.8 
 147.6 , 60.4 
 170 , 72.9 
 135.4 , 37.4 
 185.2 , 72 
 159.5 , 69.2 
 155.6 , 57.5 
 119.6 , 23.3 
 166 , 61.3 
 154.9 , 43.4 
 152.5 , 52.8 
 151.8 , 70.2 
 168.6 , 76.5 
 161.9 , 64.6 
 165.4 , 44.1 
 157.9 , 33.8 
 174.7 , 53.2 
 170.6 , 63.3 
 141.7 , 63.3 
 178.8 , 64.9 
 182.6 , 90.5 
 158.2 , 55.8 
 155.3 , 56.1 
 161.9 , 61 
 150.8 , 69.5 
 152.7 , 41.6 
 169.2 , 81.4 
 157.5 , 68.2 
 180.1 , 86.5 
 140.1 , 50.5 
 144.8 , 55.7 
 170.7 , 85 
 176.7 , 82.9 
